account_id,customer_id,branch_id,account_type,account_number,balance,currency,opened_date,status
ACC00000041,CUST000357,BR040,savings,****8776,180163.75,USD,2020-10-21,active
ACC00000042,CUST000097,BR039,checking,****5496,42275.21,USD,2019-09-28,active
ACC00000043,CUST000089,BR007,loan,****3626,-41544.35,USD,2019-04-05,dormant
ACC00000044,CUST000313,BR030,savings,****2652,137465.05,USD,2018-01-07,active
ACC00000045,CUST000155,BR027,checking,****7569,33976.24,USD,2024-03-11,active
ACC00000046,CUST000486,BR005,credit,****7189,-8003.34,USD,2024-04-29,dormant
ACC00000047,CUST000105,BR033,savings,****4071,161882.97,USD,2020-07-12,active
ACC00000048,CUST000138,BR023,savings,****4407,22664.89,USD,2021-04-09,active
ACC00000049,CUST000184,BR030,checking,****9434,6794.41,USD,2021-01-15,active
ACC00000050,CUST000186,BR033,loan,****7683,-115432.67,EUR,2024-04-03,active
ACC00000051,CUST000457,BR011,credit,****8047,-1631.96,USD,2018-11-20,active
ACC00000052,CUST000323,BR040,savings,****7894,99088.84,USD,2019-03-30,active
ACC00000053,CUST000302,BR038,loan,****9399,-137798.31,USD,2019-08-11,active
ACC00000054,CUST000130,BR045,credit,****6394,-7885.24,USD,2020-06-14,active
ACC00000055,CUST000007,BR048,savings,****2943,128625.21,USD,2018-12-09,active
ACC00000056,CUST000464,BR040,credit,****9204,-5492.42,USD,2022-07-09,dormant
ACC00000057,CUST000496,BR007,savings,****4661,193380.15,USD,2023-12-27,active
ACC00000058,CUST000063,BR013,loan,****9335,-175866.34,USD,2021-03-07,active
ACC00000059,CUST000078,BR029,credit,****7327,-4916.05,USD,2025-06-10,active
ACC00000060,CUST000236,BR038,credit,****4179,-9303.85,USD,2018-07-18,active
ACC00000061,CUST000432,BR008,checking,****2728,31076.09,USD,2019-08-18,active
ACC00000062,CUST000131,BR030,checking,****1940,32549.21,USD,2021-06-11,active
ACC00000063,CUST000247,BR027,loan,****9330,-294174.67,USD,2025-01-06,active
ACC00000064,CUST000494,BR004,loan,****2596,-334916.77,USD,2023-11-24,active
ACC00000065,CUST000095,BR002,savings,****3228,84339.19,USD,2024-10-17,active
ACC00000066,CUST000441,BR026,loan,****3558,-265135.05,USD,2022-06-22,active
ACC00000067,CUST000314,BR043,checking,****7173,47375.8,USD,2025-11-26,active
ACC00000068,CUST000389,BR050,loan,****1841,-235861.07,USD,2023-10-11,active
ACC00000069,CUST000004,BR044,checking,****9379,27676.0,GBP,2021-06-16,active
ACC00000070,CUST000063,BR050,loan,****6100,-14069.62,USD,2019-06-05,active
ACC00000071,CUST000096,BR043,credit,****2564,-2719.45,USD,2024-08-30,active
ACC00000072,CUST000204,BR019,loan,****5695,-365565.75,EUR,2025-02-15,active
ACC00000073,CUST000390,BR021,credit,****5983,-7833.27,USD,2025-10-05,active
ACC00000074,CUST000452,BR034,loan,****3986,-47649.45,USD,2024-12-12,active
ACC00000075,CUST000195,BR047,credit,****9016,-4386.3,USD,2024-11-04,active
ACC00000076,CUST000343,BR029,credit,****4689,-8126.41,USD,2020-04-04,active
ACC00000077,CUST000113,BR027,checking,****1702,47557.74,USD,2020-12-25,active
ACC00000078,CUST000222,BR008,savings,****6205,105030.71,USD,2018-01-18,dormant
ACC00000079,CUST000159,BR015,checking,****8862,26159.52,EUR,2022-07-14,active
ACC00000080,CUST000063,BR004,credit,****8381,-2582.43,USD,2025-04-15,active
ACC00000081,CUST000392,BR001,credit,****1936,-8263.96,GBP,2022-10-27,closed
ACC00000082,CUST000136,BR044,loan,****9805,-246106.7,USD,2023-07-09,active
ACC00000083,CUST000279,BR002,credit,****7653,-9678.99,USD,2018-06-15,active
ACC00000084,CUST000449,BR033,credit,****4446,-6812.01,USD,2024-12-17,active
ACC00000085,CUST000119,BR018,credit,****9393,-1583.23,USD,2019-01-05,active
ACC00000086,CUST000385,BR020,loan,****6164,-324918.25,EUR,2024-11-10,active
ACC00000087,CUST000282,BR009,savings,****8405,118182.36,USD,2024-08-06,active
ACC00000088,CUST000279,BR027,checking,****7689,513.62,EUR,2021-08-08,active
ACC00000089,CUST000149,BR030,checking,****9098,29793.9,USD,2019-08-09,active
ACC00000090,CUST000375,BR038,credit,****7949,-3739.49,USD,2022-02-14,active
ACC00000091,CUST000298,BR014,checking,****6959,30789.08,EUR,2022-08-27,active
ACC00000092,CUST000370,BR026,credit,****6981,-3404.32,USD,2019-03-23,active
ACC00000093,CUST000092,BR049,checking,****1444,8312.58,USD,2018-05-26,active
ACC00000094,CUST000298,BR015,savings,****9642,36309.96,EUR,2022-04-21,active
ACC00000095,CUST000450,BR047,credit,****8511,-3919.13,USD,2019-12-21,active
ACC00000096,CUST000176,BR031,savings,****6291,54128.9,USD,2022-10-17,active
ACC00000097,CUST000324,BR045,checking,****6180,2121.02,USD,2021-06-01,active
ACC00000098,CUST000025,BR028,loan,****4384,-483366.21,EUR,2018-05-29,active
ACC00000099,CUST000253,BR043,credit,****3727,-2821.03,USD,2019-06-02,active
ACC00000100,CUST000026,BR017,checking,****2437,8411.3,EUR,2021-07-29,active
ACC00000101,CUST000252,BR005,checking,****5738,44004.8,USD,2019-06-22,active
ACC00000102,CUST000245,BR002,loan,****5743,-94225.09,GBP,2022-05-15,active
ACC00000103,CUST000280,BR046,checking,****8472,19103.56,USD,2020-03-07,active
ACC00000104,CUST000322,BR037,savings,****1405,190380.16,USD,2018-06-17,active
ACC00000105,CUST000318,BR005,checking,****3822,12439.22,USD,2023-06-05,active
ACC00000106,CUST000028,BR031,savings,****5749,64611.7,USD,2025-06-07,active
ACC00000107,CUST000311,BR017,savings,****8869,122313.09,USD,2018-09-09,active
ACC00000108,CUST000224,BR027,credit,****5381,-5249.21,USD,2024-08-24,active
ACC00000109,CUST000142,BR039,credit,****9075,-8468.93,USD,2022-10-24,active
ACC00000110,CUST000113,BR001,credit,****8117,-3786.24,USD,2021-02-24,active
ACC00000111,CUST000443,BR025,savings,****6677,32062.69,USD,2020-01-14,active
ACC00000112,CUST000180,BR024,checking,****8744,1101.4,USD,2023-10-30,active
ACC00000113,CUST000264,BR016,credit,****3540,-9718.37,USD,2021-11-08,active
ACC00000114,CUST000493,BR028,loan,****2630,-202991.11,USD,2021-04-22,dormant
ACC00000115,CUST000307,BR021,checking,****8489,19912.81,EUR,2021-06-05,active
ACC00000116,CUST000214,BR050,credit,****3391,-5336.77,USD,2024-12-29,active
ACC00000117,CUST000270,BR026,savings,****3161,85993.8,USD,2021-10-25,active
ACC00000118,CUST000130,BR006,loan,****1685,-84956.64,USD,2021-06-07,active
ACC00000119,CUST000319,BR030,credit,****7942,-5489.96,USD,2019-06-26,active
ACC00000120,CUST000355,BR025,savings,****2118,66122.52,USD,2019-09-27,active
ACC00000121,CUST000248,BR011,credit,****7134,-6778.58,USD,2022-05-14,active
ACC00000122,CUST000387,BR017,credit,****3528,-7629.29,USD,2020-10-08,active
ACC00000123,CUST000182,BR001,credit,****5025,-3698.09,EUR,2018-06-18,active
ACC00000124,CUST000116,BR002,checking,****1030,2755.78,USD,2024-03-09,active
ACC00000125,CUST000311,BR040,savings,****7001,73953.94,USD,2022-03-24,active
ACC00000126,CUST000338,BR048,loan,****7404,-493360.11,USD,2018-03-08,active
ACC00000127,CUST000218,BR009,credit,****8806,-2397.72,USD,2019-02-02,active
ACC00000128,CUST000290,BR013,savings,****9946,15850.86,EUR,2022-07-28,active
ACC00000129,CUST000368,BR033,savings,****6940,105881.42,USD,2020-05-15,active
ACC00000130,CUST000367,BR026,loan,****3707,-56629.53,USD,2021-07-03,active
ACC00000131,CUST000167,BR022,checking,****5781,11617.11,USD,2019-08-24,active
ACC00000132,CUST000151,BR033,savings,****7671,6268.17,USD,2023-12-29,active
ACC00000133,CUST000036,BR035,credit,****7862,-1736.06,USD,2020-06-27,active
ACC00000134,CUST000121,BR005,credit,****3730,-9003.21,USD,2021-01-21,active
ACC00000135,CUST000187,BR049,checking,****7394,17669.42,USD,2019-12-15,dormant
ACC00000136,CUST000037,BR042,savings,****9857,96641.61,USD,2019-09-28,active
ACC00000137,CUST000392,BR020,credit,****9940,-5694.07,USD,2020-05-20,active
ACC00000138,CUST000309,BR036,savings,****5307,145624.1,GBP,2022-01-11,active
ACC00000139,CUST000214,BR035,loan,****6316,-212349.8,EUR,2018-06-23,active
ACC00000140,CUST000395,BR023,credit,****8105,-9278.92,USD,2025-08-29,active
ACC00000141,CUST000116,BR008,savings,****4312,40939.63,EUR,2020-10-15,active
ACC00000142,CUST000407,BR049,credit,****9786,-58.3,USD,2023-11-23,active
ACC00000143,CUST000347,BR027,loan,****3196,-85321.67,USD,2021-04-02,active
ACC00000144,CUST000040,BR036,checking,****3093,12196.93,EUR,2018-10-20,active
ACC00000145,CUST000189,BR007,savings,****7926,109526.13,USD,2021-06-25,active
ACC00000146,CUST000496,BR017,credit,****3924,-2203.44,EUR,2024-07-25,active
ACC00000147,CUST000287,BR026,savings,****3639,103391.53,USD,2021-01-04,active
ACC00000148,CUST000004,BR009,loan,****7724,-446326.12,USD,2024-05-19,active
ACC00000149,CUST000177,BR007,loan,****1964,-448241.85,USD,2024-10-29,active
ACC00000150,CUST000196,BR046,savings,****1943,116598.67,USD,2025-06-17,active
ACC00000151,CUST000315,BR006,savings,****5576,80552.29,USD,2025-01-08,active
ACC00000152,CUST000366,BR010,savings,****6845,49904.65,EUR,2022-09-14,active
ACC00000153,CUST000359,BR049,loan,****3273,-277150.58,USD,2022-12-12,active
ACC00000154,CUST000221,BR014,loan,****5140,-167426.75,USD,2020-02-20,active
ACC00000155,CUST000439,BR025,loan,****6627,-367340.53,USD,2018-07-23,active
ACC00000156,CUST000497,BR020,savings,****1514,105553.68,USD,2021-04-30,active
ACC00000157,CUST000465,BR008,loan,****9919,-400870.63,USD,2022-08-18,active
ACC00000158,CUST000198,BR022,loan,****3559,-87945.18,USD,2020-08-29,active
ACC00000159,CUST000206,BR018,checking,****5620,8350.67,USD,2020-10-23,active
ACC00000160,CUST000069,BR030,loan,****8068,-275905.01,EUR,2020-04-20,active
ACC00000161,CUST000398,BR045,credit,****5060,-9023.46,USD,2025-08-15,dormant
ACC00000162,CUST000380,BR015,credit,****6367,-2849.58,USD,2023-11-11,active
ACC00000163,CUST000185,BR036,credit,****6753,-7096.57,GBP,2018-09-12,active
ACC00000164,CUST000498,BR024,credit,****2387,-4073.96,USD,2024-08-01,active
ACC00000165,CUST000493,BR022,loan,****5404,-249037.39,EUR,2025-01-12,dormant
ACC00000166,CUST000098,BR025,checking,****5606,11081.53,USD,2023-09-13,active
ACC00000167,CUST000438,BR003,loan,****3957,-329531.9,USD,2023-01-28,active
ACC00000168,CUST000292,BR036,credit,****5478,-9368.4,USD,2025-09-29,active
ACC00000169,CUST000159,BR032,credit,****2641,-742.65,USD,2018-03-13,active
ACC00000170,CUST000464,BR028,checking,****2967,32140.92,EUR,2020-04-13,active
ACC00000171,CUST000071,BR022,loan,****3789,-382101.35,USD,2021-04-09,active
ACC00000172,CUST000320,BR033,checking,****7840,12577.93,USD,2021-10-30,active
ACC00000173,CUST000252,BR018,savings,****2333,186797.38,USD,2020-02-04,dormant
ACC00000174,CUST000190,BR041,savings,****4036,172625.07,USD,2020-04-16,active
ACC00000175,CUST000281,BR040,credit,****4665,-2900.04,USD,2024-03-29,active
ACC00000176,CUST000388,BR007,loan,****9421,-51501.99,USD,2025-02-16,active
ACC00000177,CUST000115,BR040,checking,****7748,48429.67,EUR,2023-06-16,active
ACC00000178,CUST000449,BR035,credit,****3718,-3305.17,EUR,2018-07-09,active
ACC00000179,CUST000341,BR005,savings,****9025,1692.22,USD,2019-04-15,active
ACC00000180,CUST000338,BR049,savings,****7941,11748.28,USD,2023-07-01,active
ACC00000181,CUST000238,BR035,credit,****2241,-1283.69,EUR,2024-12-22,active
ACC00000182,CUST000245,BR042,savings,****5873,122643.54,USD,2020-01-23,active
ACC00000183,CUST000034,BR050,savings,****9341,156629.35,EUR,2023-05-29,dormant
ACC00000184,CUST000151,BR028,loan,****4719,-243832.77,EUR,2022-08-07,active
ACC00000185,CUST000205,BR035,loan,****4961,-135908.61,USD,2021-05-20,active
ACC00000186,CUST000329,BR036,loan,****9572,-93257.14,USD,2019-04-17,active
ACC00000187,CUST000482,BR035,checking,****6819,35854.3,USD,2018-01-24,dormant
ACC00000188,CUST000055,BR017,savings,****6278,4425.32,USD,2024-03-29,active
ACC00000189,CUST000397,BR001,credit,****3626,-3825.92,USD,2022-02-24,active
ACC00000190,CUST000199,BR035,savings,****9450,175003.52,USD,2018-05-26,active
ACC00000191,CUST000284,BR032,credit,****7277,-8393.23,USD,2024-04-28,active
ACC00000192,CUST000437,BR018,credit,****8540,-5261.9,USD,2020-05-02,active
ACC00000193,CUST000232,BR003,loan,****2649,-61031.97,EUR,2024-12-22,active
ACC00000194,CUST000321,BR049,savings,****4756,55828.01,USD,2023-07-22,active
ACC00000195,CUST000154,BR003,checking,****8624,15261.11,USD,2024-10-12,active
ACC00000196,CUST000055,BR002,credit,****6002,-1176.29,USD,2024-05-27,active
ACC00000197,CUST000100,BR036,savings,****1688,164601.39,USD,2020-01-25,active
ACC00000198,CUST000428,BR028,credit,****5465,-6880.71,EUR,2023-09-18,active
ACC00000199,CUST000012,BR037,checking,****3152,939.8,EUR,2023-10-26,active
ACC00000200,CUST000152,BR034,loan,****3906,-63586.83,USD,2024-03-09,active
ACC00000201,CUST000219,BR042,loan,****6352,-19982.91,USD,2022-11-27,active
ACC00000202,CUST000452,BR030,savings,****8427,135007.56,EUR,2019-12-16,active
ACC00000203,CUST000111,BR031,loan,****5499,-113476.4,USD,2018-10-22,active
ACC00000204,CUST000321,BR023,checking,****4468,41665.26,USD,2024-03-14,active
ACC00000205,CUST000450,BR026,loan,****8273,-400320.77,USD,2025-01-05,active
ACC00000206,CUST000461,BR007,savings,****5793,61126.2,USD,2023-09-17,active
ACC00000207,CUST000348,BR025,loan,****9715,-404585.57,USD,2024-11-25,active
ACC00000208,CUST000430,BR041,loan,****9460,-241944.97,EUR,2018-12-04,active
ACC00000209,CUST000411,BR033,credit,****9248,-5496.78,USD,2024-08-20,active
ACC00000210,CUST000225,BR001,savings,****2750,111686.68,GBP,2023-01-24,active
ACC00000211,CUST000048,BR033,credit,****3120,-7993.26,USD,2021-02-07,active
ACC00000212,CUST000088,BR026,loan,****4838,-322696.13,USD,2019-08-02,active
ACC00000213,CUST000008,BR038,credit,****8202,-1046.3,USD,2020-03-30,active
ACC00000214,CUST000022,BR039,checking,****6693,24361.5,USD,2020-04-14,active
ACC00000215,CUST000059,BR022,credit,****2585,-7419.37,USD,2025-12-05,active
ACC00000216,CUST000046,BR025,loan,****2347,-39822.43,USD,2022-04-20,active
ACC00000217,CUST000336,BR033,credit,****4277,-3221.53,USD,2022-04-11,active
ACC00000218,CUST000156,BR040,savings,****1458,75981.96,USD,2019-07-07,active
ACC00000219,CUST000327,BR022,savings,****4929,83369.94,USD,2024-09-26,active
ACC00000220,CUST000093,BR033,credit,****4305,-5698.78,USD,2023-04-14,active
ACC00000221,CUST000497,BR006,credit,****7191,-4377.15,USD,2023-04-04,active
ACC00000222,CUST000019,BR007,checking,****4094,26258.78,USD,2020-07-19,active
ACC00000223,CUST000260,BR037,savings,****8705,105209.08,USD,2023-12-04,active
ACC00000224,CUST000034,BR003,checking,****7052,18422.66,USD,2023-04-09,active
ACC00000225,CUST000486,BR021,savings,****7558,95386.99,USD,2021-09-15,active
ACC00000226,CUST000139,BR026,loan,****4122,-259325.75,EUR,2024-07-07,active
ACC00000227,CUST000446,BR010,loan,****6839,-101594.37,USD,2018-12-09,active
ACC00000228,CUST000259,BR028,credit,****7792,-2772.97,USD,2020-02-09,active
ACC00000229,CUST000234,BR041,loan,****9915,-171472.33,EUR,2018-02-07,active
ACC00000230,CUST000307,BR002,loan,****7158,-181579.73,USD,2019-10-30,active
ACC00000231,CUST000488,BR007,checking,****7888,37859.39,USD,2019-08-10,active
ACC00000232,CUST000326,BR044,savings,****7065,24824.69,USD,2024-05-09,active
ACC00000233,CUST000118,BR016,savings,****9666,120901.31,USD,2024-03-12,active
ACC00000234,CUST000376,BR019,loan,****3934,-479523.68,USD,2024-02-18,active
ACC00000235,CUST000197,BR021,loan,****9247,-186837.36,USD,2020-04-25,active
ACC00000236,CUST000450,BR015,credit,****7495,-7555.15,GBP,2020-11-11,active
ACC00000237,CUST000421,BR038,loan,****5093,-73562.78,EUR,2021-09-08,active
ACC00000238,CUST000260,BR028,credit,****1141,-1848.49,USD,2025-05-05,active
ACC00000239,CUST000118,BR047,credit,****8040,-1976.47,USD,2022-01-03,active
ACC00000240,CUST000016,BR019,loan,****2260,-340140.52,USD,2021-12-09,active
ACC00000241,CUST000184,BR050,loan,****2914,-467140.05,EUR,2019-09-03,active
ACC00000242,CUST000460,BR013,credit,****3538,-9926.75,USD,2024-04-28,active
ACC00000243,CUST000302,BR014,checking,****5312,23795.16,USD,2020-08-05,active
ACC00000244,CUST000041,BR042,checking,****9262,49334.94,USD,2019-05-05,active
ACC00000245,CUST000214,BR044,checking,****8039,9607.03,EUR,2023-09-24,active
ACC00000246,CUST000080,BR047,loan,****1705,-413496.35,EUR,2020-06-24,active
ACC00000247,CUST000231,BR011,loan,****3642,-432483.06,USD,2024-08-11,active
ACC00000248,CUST000198,BR020,savings,****5175,177771.99,USD,2022-02-13,active
ACC00000249,CUST000131,BR025,credit,****6239,-7251.62,USD,2024-05-20,active
ACC00000250,CUST000308,BR022,credit,****8105,-4671.14,USD,2018-03-01,active
ACC00000251,CUST000309,BR019,savings,****9373,29469.34,USD,2019-10-12,active
ACC00000252,CUST000266,BR030,savings,****7983,11224.03,USD,2018-04-10,dormant
ACC00000253,CUST000233,BR002,credit,****9458,-5174.46,USD,2019-05-28,active
ACC00000254,CUST000349,BR006,loan,****2517,-305320.07,EUR,2020-03-03,active
ACC00000255,CUST000370,BR005,checking,****2251,30680.36,USD,2024-02-04,active
ACC00000256,CUST000457,BR045,loan,****4598,-91884.55,USD,2025-11-03,active
ACC00000257,CUST000117,BR019,loan,****2074,-453531.83,USD,2022-12-16,active
ACC00000258,CUST000363,BR014,credit,****8644,-4690.24,USD,2022-01-19,active
ACC00000259,CUST000299,BR010,checking,****8987,46119.68,USD,2020-11-29,active
ACC00000260,CUST000456,BR017,savings,****5447,179454.4,USD,2021-05-21,active
ACC00000261,CUST000156,BR047,checking,****6899,34372.78,USD,2023-10-12,active
ACC00000262,CUST000371,BR025,credit,****7265,-1447.72,GBP,2025-03-11,active
ACC00000263,CUST000300,BR023,checking,****9282,22468.39,GBP,2024-04-18,active
ACC00000264,CUST000189,BR018,credit,****1768,-5579.46,USD,2024-02-16,active
ACC00000265,CUST000112,BR002,credit,****6105,-6030.47,USD,2020-04-16,active
ACC00000266,CUST000232,BR010,checking,****2181,30496.47,EUR,2023-03-12,active
ACC00000267,CUST000353,BR018,credit,****7409,-7128.68,USD,2025-07-26,active
ACC00000268,CUST000432,BR030,savings,****6935,151349.81,USD,2021-11-17,active
ACC00000269,CUST000066,BR004,savings,****1669,145553.87,USD,2024-06-18,active
ACC00000270,CUST000176,BR050,savings,****5776,172389.56,EUR,2020-10-12,active
ACC00000271,CUST000403,BR039,loan,****6543,-171483.09,USD,2018-01-27,dormant
ACC00000272,CUST000165,BR030,credit,****7471,-9557.14,GBP,2023-02-25,active
ACC00000273,CUST000445,BR013,credit,****5371,-6345.2,GBP,2019-01-17,active
ACC00000274,CUST000316,BR043,savings,****3798,165288.31,USD,2023-11-10,active
ACC00000275,CUST000259,BR010,checking,****2888,30991.66,USD,2025-02-24,dormant
ACC00000276,CUST000082,BR017,credit,****3407,-9808.07,USD,2022-02-03,active
ACC00000277,CUST000444,BR022,savings,****3897,44004.75,EUR,2025-04-28,active
ACC00000278,CUST000211,BR050,credit,****1034,-2605.53,EUR,2020-08-31,active
ACC00000279,CUST000061,BR006,credit,****8634,-8031.07,USD,2024-11-14,active
ACC00000280,CUST000060,BR049,loan,****8613,-165292.04,USD,2022-01-22,dormant
ACC00000281,CUST000271,BR023,credit,****7914,-6604.68,GBP,2020-04-24,active
ACC00000282,CUST000196,BR001,savings,****2332,144079.26,USD,2018-10-21,dormant
ACC00000283,CUST000272,BR006,loan,****5695,-306762.08,USD,2019-01-24,active
ACC00000284,CUST000236,BR040,credit,****5732,-2295.79,USD,2025-12-07,active
ACC00000285,CUST000434,BR027,loan,****9213,-327664.62,USD,2018-02-23,active
ACC00000286,CUST000158,BR050,savings,****9145,2618.0,USD,2018-07-22,active
ACC00000287,CUST000302,BR017,loan,****7608,-342431.86,USD,2019-03-16,active
ACC00000288,CUST000235,BR043,loan,****6011,-156504.7,USD,2022-10-22,active
ACC00000289,CUST000364,BR036,checking,****1579,26386.02,USD,2022-06-01,active
ACC00000290,CUST000079,BR037,credit,****2548,-381.93,EUR,2023-10-27,active
ACC00000291,CUST000141,BR008,loan,****7847,-384206.77,USD,2019-12-11,active
ACC00000292,CUST000479,BR030,checking,****3187,35783.33,EUR,2023-01-28,active
ACC00000293,CUST000330,BR032,loan,****2502,-403128.71,USD,2021-04-20,active
ACC00000294,CUST000401,BR038,credit,****4022,-5061.78,USD,2025-06-28,active
ACC00000295,CUST000238,BR018,checking,****7111,42024.39,USD,2018-07-25,active
ACC00000296,CUST000123,BR005,checking,****1726,30578.78,EUR,2023-02-01,active
ACC00000297,CUST000163,BR043,credit,****2447,-2123.74,GBP,2024-01-20,dormant
ACC00000298,CUST000417,BR005,credit,****6440,-616.85,EUR,2019-10-12,active
ACC00000299,CUST000267,BR001,savings,****5152,84496.75,USD,2024-01-28,active
ACC00000300,CUST000232,BR004,loan,****5463,-286876.19,USD,2022-06-15,active
ACC00000301,CUST000338,BR021,credit,****1537,-8879.63,USD,2019-08-07,active
ACC00000302,CUST000267,BR019,checking,****7042,9829.88,USD,2020-11-03,dormant
ACC00000303,CUST000283,BR014,loan,****4743,-282547.4,USD,2020-04-15,dormant
ACC00000304,CUST000495,BR016,checking,****4132,33275.98,USD,2022-08-08,active
ACC00000305,CUST000058,BR045,checking,****2195,6213.83,USD,2023-10-08,active
ACC00000306,CUST000221,BR046,credit,****3322,-865.54,USD,2020-11-27,active
ACC00000307,CUST000331,BR016,credit,****9406,-3585.63,USD,2024-07-01,active
ACC00000308,CUST000200,BR015,checking,****4729,49887.35,USD,2019-12-23,active
ACC00000309,CUST000309,BR049,checking,****4040,25096.74,EUR,2020-02-01,active
ACC00000310,CUST000141,BR013,loan,****7545,-445997.43,USD,2025-03-31,active
ACC00000311,CUST000131,BR009,loan,****3854,-412054.41,USD,2018-01-21,active
ACC00000312,CUST000473,BR037,credit,****3959,-6209.59,EUR,2020-08-24,active
ACC00000313,CUST000194,BR033,credit,****9038,-4120.69,USD,2020-12-03,active
ACC00000314,CUST000323,BR028,loan,****6923,-74750.22,EUR,2024-11-22,active
ACC00000315,CUST000183,BR022,loan,****9565,-362353.33,EUR,2018-08-26,active
ACC00000316,CUST000104,BR003,savings,****2882,151952.18,GBP,2021-01-26,active
ACC00000317,CUST000150,BR038,checking,****4463,8289.19,USD,2021-06-08,active
ACC00000318,CUST000073,BR009,savings,****8580,17636.5,USD,2025-08-06,active
ACC00000319,CUST000114,BR042,savings,****6797,165333.96,USD,2025-09-15,active
ACC00000320,CUST000368,BR006,credit,****9876,-1145.12,USD,2025-05-31,active
ACC00000321,CUST000425,BR007,loan,****6170,-125145.82,USD,2018-05-05,active
ACC00000322,CUST000205,BR020,checking,****5451,11478.58,GBP,2020-10-31,active
ACC00000323,CUST000366,BR014,loan,****1090,-94289.23,GBP,2021-12-26,active
ACC00000324,CUST000412,BR050,checking,****2735,26018.94,USD,2020-06-30,active
ACC00000325,CUST000357,BR014,credit,****8225,-789.19,USD,2023-12-13,active
ACC00000326,CUST000046,BR018,loan,****7666,-362707.46,USD,2021-11-15,dormant
ACC00000327,CUST000246,BR028,savings,****8217,24544.55,USD,2019-11-06,active
ACC00000328,CUST000292,BR010,checking,****3947,17195.37,USD,2020-06-30,active
ACC00000329,CUST000175,BR033,savings,****9882,48549.1,USD,2022-10-02,active
ACC00000330,CUST000030,BR045,checking,****6769,12249.69,USD,2020-12-17,active
ACC00000331,CUST000211,BR013,savings,****3277,34710.1,USD,2025-02-18,active
ACC00000332,CUST000466,BR038,savings,****7450,29677.03,USD,2019-12-30,active
