card_id,account_id,card_number,card_type,credit_limit,available_credit,apr,expiry_date,status
CARD000335,ACC00000848,****-****-****-9751,amex,50000,41982.55,16.37,2029-07,active
CARD000336,ACC00000945,****-****-****-2540,mastercard,1000,855.73,19.13,2028-07,active
CARD000337,ACC00000867,****-****-****-9334,amex,2500,2334.77,17.75,2030-04,active
CARD000338,ACC00001119,****-****-****-5796,mastercard,1000,331.61,16.24,2029-05,active
CARD000339,ACC00000811,****-****-****-8282,amex,10000,4766.44,15.76,2027-05,active
CARD000340,ACC00000827,****-****-****-4916,mastercard,15000,8987.73,17.57,2028-06,active
CARD000341,ACC00001107,****-****-****-2654,amex,25000,19220.56,21.32,2028-04,active
CARD000342,ACC00000829,****-****-****-1180,visa,10000,3738.2,24.88,2027-12,active
CARD000343,ACC00000829,****-****-****-4537,visa,15000,14134.6,23.47,2027-05,active
CARD000344,ACC00000802,****-****-****-5236,mastercard,1000,457.99,15.92,2027-10,active
CARD000345,ACC00001077,****-****-****-8588,mastercard,5000,2858.92,21.13,2030-10,active
CARD000346,ACC00000903,****-****-****-5639,mastercard,2500,1815.4,13.98,2030-10,active
CARD000347,ACC00000820,****-****-****-5972,amex,10000,2056.04,16.51,2031-09,active
CARD000348,ACC00000947,****-****-****-4042,mastercard,10000,8981.42,21.31,2029-08,active
CARD000349,ACC00001007,****-****-****-2027,amex,5000,3285.94,13.05,2028-11,active
CARD000350,ACC00000946,****-****-****-8996,mastercard,25000,5506.53,24.16,2027-01,active
CARD000351,ACC00001021,****-****-****-6063,amex,15000,13694.58,15.65,2028-12,active
CARD000352,ACC00000821,****-****-****-7993,mastercard,50000,11962.79,15.4,2027-01,blocked
CARD000353,ACC00000806,****-****-****-4381,visa,10000,9275.94,17.12,2031-02,active
CARD000354,ACC00000916,****-****-****-1722,amex,5000,1059.81,20.48,2030-02,active
CARD000355,ACC00001093,****-****-****-7822,amex,50000,32337.67,24.79,2028-12,active
CARD000356,ACC00001030,****-****-****-2343,amex,5000,4697.43,14.83,2029-09,active
CARD000357,ACC00001081,****-****-****-5822,amex,15000,8470.42,21.57,2030-11,active
CARD000358,ACC00001133,****-****-****-7267,visa,1000,264.84,20.91,2030-09,active
CARD000359,ACC00000917,****-****-****-3971,amex,15000,13234.37,18.78,2028-07,active
CARD000360,ACC00000809,****-****-****-9887,amex,5000,2664.16,14.61,2031-08,active
CARD000361,ACC00000832,****-****-****-4369,amex,5000,3549.39,22.57,2028-07,active
CARD000362,ACC00001006,****-****-****-4022,mastercard,25000,23563.74,18.74,2031-05,active
CARD000363,ACC00001064,****-****-****-7487,mastercard,25000,11117.85,18.69,2029-05,expired
CARD000364,ACC00000997,****-****-****-1724,visa,1000,208.41,22.33,2030-01,active
CARD000365,ACC00001135,****-****-****-3385,mastercard,2500,1940.28,18.01,2029-10,active
CARD000366,ACC00000951,****-****-****-8371,amex,2500,1301.39,22.9,2030-10,active
CARD000367,ACC00000887,****-****-****-4682,visa,15000,5038.72,13.07,2029-05,active
CARD000368,ACC00000974,****-****-****-7576,visa,15000,10963.21,17.69,2028-08,active
CARD000369,ACC00000948,****-****-****-9998,amex,25000,8623.81,23.99,2031-10,active
CARD000370,ACC00000814,****-****-****-6177,mastercard,50000,24692.49,20.19,2029-10,active
CARD000371,ACC00001075,****-****-****-3047,mastercard,2500,1445.01,24.81,2031-10,active
CARD000372,ACC00000959,****-****-****-2091,visa,25000,21705.78,14.72,2027-10,active
CARD000373,ACC00001101,****-****-****-4760,mastercard,50000,12839.69,21.33,2030-12,expired
CARD000374,ACC00000851,****-****-****-3075,mastercard,10000,4329.3,15.27,2030-01,active
CARD000375,ACC00001005,****-****-****-6449,visa,15000,4554.16,20.1,2030-06,active
CARD000376,ACC00000960,****-****-****-6599,mastercard,2500,851.03,14.22,2030-11,active
CARD000377,ACC00000904,****-****-****-5718,amex,15000,14417.79,20.98,2027-02,active
CARD000378,ACC00000898,****-****-****-4272,amex,50000,49334.68,13.84,2030-03,blocked
CARD000379,ACC00000903,****-****-****-1287,mastercard,25000,5934.87,14.59,2030-12,active
CARD000380,ACC00000995,****-****-****-6050,amex,10000,9845.07,23.34,2029-07,active
CARD000381,ACC00001002,****-****-****-5003,amex,25000,19707.61,13.37,2028-04,active
CARD000382,ACC00001049,****-****-****-8936,amex,5000,3453.47,15.59,2029-11,active
CARD000383,ACC00000830,****-****-****-5905,mastercard,15000,13304.6,15.01,2031-04,expired
CARD000384,ACC00001087,****-****-****-9517,visa,10000,7763.82,13.66,2027-09,expired
CARD000385,ACC00000956,****-****-****-6155,mastercard,10000,7914.07,19.39,2029-06,active
CARD000386,ACC00000909,****-****-****-5369,amex,5000,2438.46,15.17,2027-08,blocked
CARD000387,ACC00001031,****-****-****-2285,amex,5000,4000.42,19.64,2031-06,active
CARD000388,ACC00000874,****-****-****-9272,amex,15000,13427.8,18.25,2031-04,blocked
CARD000389,ACC00000864,****-****-****-2603,mastercard,15000,8351.61,14.39,2028-01,active
CARD000390,ACC00000822,****-****-****-9579,amex,50000,46300.62,23.91,2030-03,expired
CARD000391,ACC00000966,****-****-****-2552,visa,25000,9833.36,15.89,2027-12,active
CARD000392,ACC00000959,****-****-****-1283,mastercard,25000,14526.84,14.58,2027-09,active
CARD000393,ACC00001128,****-****-****-8921,mastercard,10000,4910.88,21.89,2027-11,expired
CARD000394,ACC00000821,****-****-****-7093,amex,10000,9665.64,15.85,2030-06,active
CARD000395,ACC00001057,****-****-****-4148,visa,25000,14270.24,14.25,2027-02,active
CARD000396,ACC00001094,****-****-****-8640,mastercard,2500,2068.1,15.56,2029-09,expired
CARD000397,ACC00001097,****-****-****-9717,amex,5000,3096.71,17.07,2028-04,active
CARD000398,ACC00000925,****-****-****-2964,amex,50000,17362.82,17.21,2028-06,active
CARD000399,ACC00000979,****-****-****-7610,amex,2500,1161.25,15.7,2030-09,active
CARD000400,ACC00000870,****-****-****-6436,mastercard,15000,6760.48,16.82,2031-01,active
CARD000401,ACC00001119,****-****-****-6622,amex,50000,47937.2,21.61,2028-12,active
CARD000402,ACC00001074,****-****-****-2070,mastercard,50000,16854.69,15.3,2027-04,active
CARD000403,ACC00000963,****-****-****-8548,amex,15000,8038.2,21.46,2027-11,active
CARD000404,ACC00001009,****-****-****-4253,visa,15000,10713.21,22.05,2030-12,active
CARD000405,ACC00000828,****-****-****-6268,mastercard,2500,537.93,16.93,2028-05,expired
CARD000406,ACC00000874,****-****-****-9133,amex,5000,2294.98,13.22,2030-10,active
CARD000407,ACC00000866,****-****-****-5342,mastercard,5000,1479.91,24.67,2030-04,active
CARD000408,ACC00000967,****-****-****-3816,amex,10000,4760.81,22.35,2027-10,active
CARD000409,ACC00000980,****-****-****-1854,visa,15000,6308.29,19.69,2031-02,active
CARD000410,ACC00001009,****-****-****-4121,visa,25000,19317.87,22.4,2027-11,active
CARD000411,ACC00000963,****-****-****-7861,visa,5000,4945.73,16.08,2031-06,expired
CARD000412,ACC00001057,****-****-****-2961,amex,50000,32476.29,15.77,2030-10,active
CARD000413,ACC00001076,****-****-****-7801,mastercard,2500,2392.47,17.23,2031-04,active
CARD000414,ACC00001034,****-****-****-3565,mastercard,50000,18899.03,21.99,2028-07,active
CARD000415,ACC00000945,****-****-****-6724,amex,5000,4798.76,19.72,2029-04,active
CARD000416,ACC00001095,****-****-****-7383,mastercard,50000,36332.36,18.56,2031-11,active
CARD000417,ACC00000828,****-****-****-1539,amex,10000,5756.57,24.65,2030-12,active
CARD000418,ACC00000917,****-****-****-1101,amex,25000,13758.14,17.93,2030-12,active
CARD000419,ACC00000877,****-****-****-4653,visa,25000,15272.31,15.15,2027-04,active
CARD000420,ACC00000892,****-****-****-6025,mastercard,15000,13352.92,21.89,2031-12,active
