card_id,account_id,card_number,card_type,credit_limit,available_credit,apr,expiry_date,status
CARD000570,ACC00001835,****-****-****-4623,visa,15000,9903.98,24.4,2027-12,active
CARD000571,ACC00001837,****-****-****-9039,mastercard,25000,21183.98,15.58,2031-06,active
CARD000572,ACC00001799,****-****-****-1997,visa,25000,13225.61,22.53,2029-03,active
CARD000573,ACC00001664,****-****-****-2770,mastercard,10000,8511.34,15.02,2030-09,active
CARD000574,ACC00001727,****-****-****-1548,amex,5000,2656.75,22.46,2027-11,active
CARD000575,ACC00001805,****-****-****-2945,mastercard,5000,3301.5,21.08,2030-06,active
CARD000576,ACC00001598,****-****-****-2709,mastercard,15000,11851.19,18.93,2029-07,active
CARD000577,ACC00001510,****-****-****-4741,visa,10000,4572.95,14.35,2031-01,active
CARD000578,ACC00001674,****-****-****-8429,amex,25000,6345.33,23.66,2029-08,active
CARD000579,ACC00001534,****-****-****-4370,amex,5000,3606.83,18.09,2031-11,active
CARD000580,ACC00001670,****-****-****-9088,visa,10000,6382.54,20.01,2028-01,active
CARD000581,ACC00001771,****-****-****-6386,visa,50000,39928.5,13.0,2028-11,active
CARD000582,ACC00001539,****-****-****-9427,visa,10000,8561.55,24.01,2030-09,active
CARD000583,ACC00001652,****-****-****-4356,visa,10000,3379.78,23.04,2031-10,active
CARD000584,ACC00001817,****-****-****-7556,visa,15000,13067.86,23.09,2029-11,active
CARD000585,ACC00001753,****-****-****-4655,visa,1000,378.09,22.81,2028-08,active
CARD000586,ACC00001759,****-****-****-7272,visa,50000,16785.16,13.96,2028-09,active
CARD000587,ACC00001798,****-****-****-3643,amex,2500,1469.49,21.22,2028-07,active
CARD000588,ACC00001548,****-****-****-3553,mastercard,25000,8605.18,23.61,2027-11,active
CARD000589,ACC00001791,****-****-****-9560,mastercard,1000,987.74,18.12,2031-04,active
CARD000590,ACC00001623,****-****-****-5596,visa,15000,7744.76,23.86,2030-05,active
CARD000591,ACC00001538,****-****-****-5093,mastercard,25000,17188.24,22.34,2028-08,active
CARD000592,ACC00001536,****-****-****-5584,amex,50000,22775.1,18.01,2029-11,active
CARD000593,ACC00001678,****-****-****-3621,mastercard,1000,224.63,22.81,2027-04,active
CARD000594,ACC00001721,****-****-****-1669,amex,15000,9370.7,15.76,2028-08,active
CARD000595,ACC00001746,****-****-****-8061,amex,15000,14884.82,15.95,2027-08,active
CARD000596,ACC00001531,****-****-****-2515,mastercard,5000,1975.68,20.19,2031-09,active
CARD000597,ACC00001715,****-****-****-8887,visa,2500,1626.01,16.07,2030-02,active
CARD000598,ACC00001525,****-****-****-2537,amex,10000,5318.26,19.1,2030-03,active
CARD000599,ACC00001575,****-****-****-6597,visa,2500,1929.45,20.64,2030-03,active
CARD000600,ACC00001649,****-****-****-1566,mastercard,50000,20723.22,15.52,2028-04,active
CARD000601,ACC00001695,****-****-****-4877,visa,2500,1772.06,18.53,2027-02,active
CARD000602,ACC00001805,****-****-****-4856,amex,5000,1274.85,20.91,2028-12,active
CARD000603,ACC00001750,****-****-****-9208,amex,5000,3896.38,16.06,2031-11,expired
CARD000604,ACC00001820,****-****-****-1009,mastercard,5000,2455.13,13.76,2028-08,expired
CARD000605,ACC00001750,****-****-****-1371,visa,2500,1302.08,24.26,2031-05,expired
CARD000606,ACC00001519,****-****-****-1367,visa,5000,2291.24,18.36,2029-08,active
CARD000607,ACC00001832,****-****-****-1410,amex,25000,6481.48,16.72,2028-03,active
CARD000608,ACC00001820,****-****-****-6417,mastercard,50000,49229.92,13.39,2027-01,active
CARD000609,ACC00001687,****-****-****-4376,amex,15000,13940.09,23.66,2029-10,active
CARD000610,ACC00001672,****-****-****-7805,mastercard,10000,7851.57,16.32,2031-11,active
CARD000611,ACC00001776,****-****-****-9458,mastercard,1000,587.18,16.92,2030-11,active
CARD000612,ACC00001675,****-****-****-9661,amex,15000,8166.08,20.7,2031-07,active
CARD000613,ACC00001617,****-****-****-1806,mastercard,25000,12464.41,18.88,2028-12,active
CARD000614,ACC00001784,****-****-****-7404,mastercard,1000,227.01,24.36,2027-03,active
CARD000615,ACC00001768,****-****-****-1756,mastercard,10000,4537.96,18.48,2029-06,active
CARD000616,ACC00001845,****-****-****-1780,mastercard,1000,412.78,16.49,2031-05,active
CARD000617,ACC00001744,****-****-****-5522,mastercard,15000,5136.44,14.26,2031-05,active
CARD000618,ACC00001719,****-****-****-1463,mastercard,2500,738.17,22.23,2027-03,active
CARD000619,ACC00001695,****-****-****-7076,visa,50000,35552.76,15.03,2030-11,active
CARD000620,ACC00001639,****-****-****-6250,visa,5000,2641.79,20.41,2027-09,active
CARD000621,ACC00001741,****-****-****-5792,visa,50000,10288.15,16.66,2031-05,active
CARD000622,ACC00001752,****-****-****-2329,mastercard,50000,32135.33,19.92,2030-04,active
CARD000623,ACC00001570,****-****-****-6681,amex,25000,9928.95,21.93,2027-09,active
CARD000624,ACC00001615,****-****-****-8214,amex,5000,2968.8,16.1,2030-02,active
CARD000625,ACC00001743,****-****-****-1803,amex,2500,1371.44,14.09,2029-01,active
CARD000626,ACC00001565,****-****-****-9366,visa,15000,6868.69,19.86,2028-07,blocked
CARD000627,ACC00001619,****-****-****-6283,visa,15000,12617.19,16.08,2028-06,active
CARD000628,ACC00001825,****-****-****-1224,amex,1000,842.85,15.29,2028-09,active
CARD000629,ACC00001766,****-****-****-5266,amex,25000,10200.43,20.16,2031-02,blocked
CARD000630,ACC00001626,****-****-****-1534,amex,10000,2603.76,14.31,2030-11,active
CARD000631,ACC00001516,****-****-****-2721,amex,2500,2285.96,14.15,2031-07,active
CARD000632,ACC00001743,****-****-****-5803,amex,10000,9763.28,18.13,2029-02,active
CARD000633,ACC00001752,****-****-****-2607,amex,25000,22187.47,16.62,2029-02,expired
CARD000634,ACC00001727,****-****-****-7919,mastercard,50000,46627.4,19.73,2030-06,active
CARD000635,ACC00001790,****-****-****-9622,amex,10000,6823.39,13.42,2027-03,expired
CARD000636,ACC00001546,****-****-****-3906,amex,50000,42056.51,20.14,2031-12,active
CARD000637,ACC00001838,****-****-****-8416,visa,50000,41618.05,20.66,2029-12,active
CARD000638,ACC00001626,****-****-****-2256,amex,50000,47185.89,19.68,2030-07,active
CARD000639,ACC00001515,****-****-****-6867,mastercard,25000,8332.71,24.35,2027-10,active
CARD000640,ACC00001663,****-****-****-2142,amex,25000,18594.12,18.14,2030-01,active
CARD000641,ACC00001607,****-****-****-7078,amex,5000,1922.76,21.61,2028-12,active
CARD000642,ACC00001586,****-****-****-2330,mastercard,5000,2837.39,17.69,2027-08,active
CARD000643,ACC00001589,****-****-****-6564,amex,10000,8428.56,19.87,2031-12,expired
CARD000644,ACC00001761,****-****-****-6916,amex,2500,1044.55,15.42,2027-05,blocked
CARD000645,ACC00001559,****-****-****-5741,mastercard,1000,830.99,15.5,2027-11,blocked
CARD000646,ACC00001512,****-****-****-8292,amex,15000,5158.11,21.58,2031-08,active
CARD000647,ACC00001535,****-****-****-9544,mastercard,15000,5493.09,19.82,2027-09,active
CARD000648,ACC00001752,****-****-****-8109,mastercard,2500,833.55,19.76,2028-10,active
CARD000649,ACC00001714,****-****-****-4641,amex,5000,2122.29,21.59,2029-09,active
CARD000650,ACC00001742,****-****-****-3475,visa,50000,28772.01,16.87,2027-09,active
CARD000651,ACC00001602,****-****-****-4314,visa,5000,4781.52,21.06,2030-05,active
CARD000652,ACC00001607,****-****-****-9626,visa,5000,1281.54,19.21,2028-03,active
CARD000653,ACC00001839,****-****-****-6259,mastercard,25000,5665.62,22.44,2030-10,active
CARD000654,ACC00001573,****-****-****-1942,amex,25000,15698.81,20.24,2031-03,active
CARD000655,ACC00001704,****-****-****-6326,amex,25000,24493.82,24.11,2027-01,active
CARD000656,ACC00001606,****-****-****-1494,visa,5000,2675.16,18.91,2029-07,active
CARD000657,ACC00001547,****-****-****-1262,amex,5000,2051.34,23.8,2029-11,active
CARD000658,ACC00001815,****-****-****-7789,amex,1000,792.75,24.16,2028-12,active
CARD000659,ACC00001736,****-****-****-4379,mastercard,5000,4490.58,22.67,2029-12,active
CARD000660,ACC00001776,****-****-****-1041,mastercard,15000,10788.88,17.69,2028-04,active
